EncuestaHogar_id,DEPARTAMENTO,Estrato,IdTamanoHogar,TamanoHogar,Personas,PersonasMenor4,PersonasDesde4,Autos,Motos,Otros,Vehiculos,EspaciosEstacionamiento,AutoECH,MotoECH,ZonaIMM,Ponderacion
7865,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,496.881969491
7866,1,3,2,2 Personas,2,0,2,1,0,0,1,1,1,2,Oeste,551.4843837208
7867,1,3,3,3 o 4 Personas,4,0,4,1,0,0,1,0,2,2,Oeste,132.9134165705
7878,1,3,3,3 o 4 Personas,3,0,3,3,0,0,3,3,1,2,Oeste,623.0839873898
7882,1,3,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Oeste,351.6414582299
7883,3,9,1,1 Persona,1,0,1,0,0,0,0,0,2,2,,559.6747169188
7884,3,5,2,2 Personas,2,0,2,0,0,0,0,0,2,2,,220.0665460952
7885,1,1,3,3 o 4 Personas,3,0,3,0,1,0,1,0,2,1,Este,422.5678192029
7886,3,5,1,1 Persona,1,0,1,0,0,0,0,2,2,1,,190.2894037524
7887,1,1,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Este,245.3813560269
7821,1,4,1,1 Persona,1,0,1,1,0,0,1,0,1,2,Centro,466.9356225341
7822,1,4,3,3 o 4 Personas,3,0,3,1,0,0,1,0,1,2,Centro,273.2614044229
7823,1,1,3,3 o 4 Personas,3,0,3,2,0,0,2,1,1,2,Oeste,567.6284138546
7825,1,3,2,2 Personas,2,0,2,1,0,0,1,1,1,2,Centro,167.447403638
7826,1,4,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Centro,270.6821681336
7827,16,49,4,5 o mas Personas,5,0,5,0,0,1,1,1,1,2,,193.8259279629
7828,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,180.5530019165
7832,1,4,1,1 Persona,1,0,1,1,0,0,1,1,1,2,Centro,466.9356225341
7833,1,4,3,3 o 4 Personas,3,0,3,1,0,0,1,0,1,2,Centro,1392.1560738845
7834,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,156.873919698
7836,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,85.8366730423
7837,1,1,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Este,170.2885241564
7842,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,883.5257552801
7850,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,1086.5880431727
7851,1,3,1,1 Persona,1,0,1,1,0,0,1,1,2,2,Oeste,1669.3752964086
7853,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,174.6332313619
7854,1,4,2,2 Personas,2,1,1,1,0,0,1,1,1,2,Centro,607.38349272
