EncuestaPersona_id,EncuestaHogar_ID,zonaimm,ZatHogar,MZatHogar,DptoHogar,estrato,Anillo,Idpersonaech,PARENTESCO,FECHAVIAJES,LUGAR4MANANAENUM,zat4am,Edad,Edad052009,NacimientoAnio,sexo,TamanoHogar,PersonasenHogar,Vehiculosenhogar,TipousuarioModo,Preescolar,PrimariaComun,PrimariaEspecial,CicloBasicoLiceo,BachillerSecundario,BachillerTecnilogico,Tecnico,Profesorado,Universitario,Terciario,Posgrado,EstudioPrincipal,AsistenciaInstitutoEducativo,Jubilado,Pensionista,Rentista,Estudiante,QuehaceresEnCasa,¿Se movió?,Ponderacion
9973,8097,Oeste,122,22,1,2,Montevideo,3,3,11/09/2009 00:00:00.000000,1,122,8,,2000,2,3 o 4 Personas,4,2,,,,,,,,,,,,,,,,,,,,#N/D,256.9662163897
9975,8098,,161,26,3,5,Primer Anillo,1,1,07/10/2009 00:00:00.000000,1,161,20,20,1976,2,5 o mas Personas,5,0,,1,6,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,1,#N/D,469.8807509111
9980,8100,Oeste,123,13,1,1,Montevideo,3,7,10/09/2009 00:00:00.000000,1,123,64,64,1946,2,5 o mas Personas,8,1,,0,6,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,#N/D,903.5455893711
9981,8099,Centro,66,3,1,4,Montevideo,2,2,14/10/2009 00:00:00.000000,1,66,67,67,1942,2,2 Personas,2,1,3,0,6,0,3,1,0,0,0,0,0,0,,2,1,1,2,2,1,SI,182.8681483458
9983,8100,Oeste,123,13,1,1,Montevideo,4,2,10/09/2009 00:00:00.000000,1,123,35,35,1974,2,5 o mas Personas,8,1,9,2,6,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,1,SI,903.5455893711
9984,8100,Oeste,123,13,1,1,Montevideo,5,3,10/09/2009 00:00:00.000000,1,123,13,13,1995,2,5 o mas Personas,8,1,10,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SI,903.5455893711
9986,8100,Oeste,123,13,1,1,Montevideo,7,3,10/09/2009 00:00:00.000000,1,123,7,7,2001,2,5 o mas Personas,8,1,10,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SI,903.5455893711
9987,8100,Oeste,123,13,1,1,Montevideo,999,9,10/09/2009 00:00:00.000000,1,123,45,,1963,2,5 o mas Personas,8,1,5,,,,,,,,,,,,,,,,,,,SI,903.5455893711
9989,8098,,161,26,3,5,Primer Anillo,4,3,,1,161,4,4,1996,2,5 o mas Personas,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,#N/D,469.8807509111
9990,8101,,165,17,3,5,Primer Anillo,1,1,07/10/2009 00:00:00.000000,1,165,62,62,1946,2,3 o 4 Personas,3,0,,0,3,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,#N/D,327.6642214231
9991,8103,Este,82,9,1,3,Montevideo,2,2,14/08/2009 00:00:00.000000,1,82,50,50,1959,2,3 o 4 Personas,3,2,5,0,6,0,3,0,0,1,0,0,0,0,CORTE Y CONFECCION,2,2,2,2,2,1,SI,160.3978581399
9994,8102,Oeste,123,13,1,1,Montevideo,1,1,14/09/2009 00:00:00.000000,1,123,40,40,1968,2,5 o mas Personas,6,1,,0,6,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,1,#N/D,483.0837804558
9996,8101,,165,17,3,5,Primer Anillo,2,4,07/10/2009 00:00:00.000000,1,165,24,24,1984,2,3 o 4 Personas,3,0,12,0,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,SI,327.6642214231
9997,8102,Oeste,123,13,1,1,Montevideo,4,5,14/09/2009 00:00:00.000000,1,123,12,16,1995,2,5 o mas Personas,6,1,5,0,4,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,SI,483.0837804558
