,PARTIDO,fraccion,radio,hogar,LOCALIDA,CANPER,CANPERM3,CANPEREV,TIPOVIVI,COCHERA,AUTO,BICICLET,CICLOMO,MOTO,CANAUTOS,OTIPOVIV,z_cocherasino,z_tieneciclomo,z_tienemoto,z_tieneauto,wt1,z_gastoco2,z_gastoma2,z_Quintil_ing_per_capita_AD_EQUIV,IDH
3732,La Matanza,11.0,4.0,108,LA TABLADA,5.0,4.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,140.07135009765625,61.6666666666667,231.008771929825,3.0,6645.0
3733,E. Echeverria,1.0,40.0,009,LUIS GUILLON,4.0,4.0,0.0,Casa,0.0,No,2.0,No tiene,No tiene,No tiene,,No,No,No,No,87.94169616699219,0.0,0.0,3.0,6646.0
3734,Jose C. Paz,5.0,23.0,021,JOSE C PAZ,3.0,3.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,126.14349365234375,353.214285714286,260.921132457027,1.0,6647.0
3735,Jose C. Paz,5.0,23.0,011,JOSE C PAZ,5.0,5.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,135.68736267089844,353.75,149.479338842975,1.0,6648.0
3736,La Matanza,11.0,4.0,106,LA TABLADA,5.0,5.0,0.0,"Dep. ""tipo casa"" (PH) o ""de pasillo""",0.0,Si,2.0,No tiene,No tiene,1.0,,No,No,No,Si,193.7530517578125,200.0,200.0,3.0,6649.0
3737,E. Echeverria,5.0,21.0,025,MONTE GRANDE,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,115.354248046875,200.0,257.0,3.0,6650.0
3738,Cap. Fed. DE 10,3.0,9.0,010,NUÑEZ,1.0,1.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,346.704833984375,239.5,441.921487603306,3.0,6651.0
3739,Cap. Fed. DE 10,3.0,9.0,002,NUÑEZ,2.0,2.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,2.0,,Si,No,No,Si,281.91546630859375,500.0,509.962962962963,4.0,6652.0
3740,La Matanza,40.0,22.0,016,SAN JUSTO,4.0,3.0,0.0,Casa,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,123.71149444580078,0.0,0.0,1.0,6653.0
3741,Cap. Fed. DE 09,2.0,7.0,030,COLEGIALES,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,323.3410949707031,0.0,0.0,3.0,6654.0
3742,Cap. Fed. DE 09,3.0,3.0,023,COLEGIALES,2.0,2.0,0.0,Departamento,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,271.62890625,0.0,0.0,4.0,6655.0
3743,Ituzaingo,2.0,3.0,020,ITUZAINGO,4.0,4.0,0.0,Casa,2.0,Si,1.0,No tiene,No tiene,1.0,,Si,No,No,Si,158.4850311279297,300.0,500.0,1.0,6656.0
3744,Cap. Fed. DE 09,12.0,7.0,042,COLEGIALES,2.0,2.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,256.53985595703125,0.0,0.0,5.0,6657.0
3745,Cap. Fed. DE 10,5.0,5.0,013,NUÑEZ,1.0,1.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,355.6185302734375,0.0,0.0,4.0,6658.0
3746,General San Martin,8.0,11.0,043,VILLA BALLESTER,3.0,3.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,222.56092834472656,297.230769230769,441.921487603306,4.0,6659.0
3747,Cap. Fed. DE 10,5.0,6.0,041,NUÑEZ,2.0,2.0,0.0,Departamento,0.0,No,2.0,No tiene,No tiene,No tiene,,No,No,No,No,271.0492248535156,0.0,0.0,5.0,6660.0
3748,General San Martin,7.0,2.0,040,VILLA BALLESTER,3.0,2.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,1.0,,No,No,No,Si,249.18528747558594,286.09375,260.921132457027,3.0,6661.0
3749,Cap. Fed. DE 10,8.0,4.0,010,COGHLAN,2.0,2.0,0.0,Departamento,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,342.2362060546875,250.0,180.0,4.0,6662.0
3750,Cap. Fed. DE 10,23.0,1.0,042,BELGRANO,1.0,1.0,0.0,Departamento,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,332.7149353027344,0.0,0.0,4.0,6663.0
3751,Avellaneda,9.0,4.0,051,GERLI,3.0,3.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,214.86448669433594,0.0,0.0,5.0,6664.0
3752,Avellaneda,9.0,4.0,050,GERLI,3.0,2.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,196.11370849609375,225.0,149.479338842975,1.0,6665.0
3753,Cap. Fed. DE 11,6.0,4.0,011,FLORES,3.0,3.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,383.7359924316406,0.0,0.0,5.0,6666.0
3754,Cap. Fed. DE 11,6.0,4.0,020,FLORES,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,347.8003845214844,0.0,0.0,5.0,6667.0
3755,Cap. Fed. DE 11,6.0,4.0,021,FLORES,2.0,2.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,265.0903015136719,0.0,0.0,4.0,6668.0
3756,Cap. Fed. DE 11,6.0,8.0,033,FLORES,4.0,4.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,2.0,,No,No,No,Si,284.84893798828125,150.0,700.0,5.0,6669.0
3757,Cap. Fed. DE 16,7.0,13.0,017,VILLA DEVOTO,4.0,4.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,90.60391998291016,300.0,200.0,5.0,6670.0
3758,Cap. Fed. DE 12,5.0,12.0,228,FLORES,2.0,2.0,0.0,"Dep. ""tipo casa"" (PH) o ""de pasillo""",0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,232.3457489013672,0.0,0.0,2.0,6671.0
